name,jmail_doc_count,doc_mentions,keyword_cooccurrence,flights,connections,in_black_book,evidence_index_raw,consequence_tier,consequence_description
Barack Obama,0,19,8,0,0,0,0.08,0,No consequences related to Epstein; minimal documented connection
Bill Clinton,31,33,95,38,11,1,0.89,0,No legal consequences related to Epstein; denied wrongdoing
Bill Gates,51,29,30,1,8,0,0.22,1,Epstein meetings cited as factor in divorce from Melinda Gates (2021); faced sustained reputational damage
Bill Richardson,17,9,13,6,8,1,0.61,0,Denied allegations; died September 2023 before further proceedings
Casey Wasserman,0,14,11,0,0,0,0.06,1,Artists and clients publicly departed his talent agency after Epstein file revelations (2026)
Corina Tarnita,0,8,16,0,0,0,0.04,0,Princeton professor; no consequences related to Epstein
Donald Trump,14,42,110,3,14,1,0.84,0,No legal consequences related to Epstein; served as 45th and 47th President
Ehud Barak,100,50,63,15,6,1,0.91,0,Faced media scrutiny over Epstein visits; no formal consequences
Elon Musk,11,25,35,0,3,0,0.15,0,No consequences related to Epstein; denied close relationship
Eva Andersson-Dubin,0,3,7,8,8,1,0.57,1,Named in civil lawsuits; faced public scrutiny over relationship with Epstein
Ghislaine Maxwell,94,39,292,413,123,1,2.64,2,Convicted of sex trafficking and conspiracy; sentenced to 20 years in federal prison (2022)
Glenn Dubin,5,11,17,15,5,1,0.62,1,Named in civil lawsuits; faced public scrutiny and allegations related to Epstein
Hillary Clinton,2,27,39,0,0,0,0.14,0,No consequences related to Epstein; minimal documented connection
Howard Lutnick,0,8,21,0,0,0,0.05,0,No consequences related to Epstein
Jeff Bezos,0,14,12,0,0,1,0.56,0,No consequences related to Epstein; minimal documented connection
Jes Staley,69,40,94,6,4,1,0.84,1,Resigned as Barclays CEO (2021); fined by UK regulators over Epstein ties; sued by JPMorgan
Karyna Shuliak,0,58,88,0,1,0,0.3,0,Epstein's girlfriend; not charged with any crimes
Kathryn Ruemmler,0,18,7,0,0,0,0.07,0,Former Obama White House Counsel; met with Epstein; no formal consequences
Larry Summers,93,29,48,5,5,1,0.78,0,Acknowledged meeting Epstein; no consequences
Leon Black,470,34,47,9,5,1,1.21,1,Stepped down as CEO of Apollo Global Management (2021) following scrutiny of Epstein payments
Leon Botstein,141,8,10,0,0,0,0.19,0,Bard College president; received Epstein donations; no formal consequences
Les Wexner,45,7,26,15,6,1,0.66,1,Stepped down as L Brands CEO (2020); severed ties with Epstein; admitted Epstein misappropriated funds
Mark Zuckerberg,3,23,25,0,0,0,0.11,0,No consequences related to Epstein; minimal documented connection
Michael Wolff,116,18,13,0,0,1,0.7,0,Journalist/author; no consequences related to Epstein
Peggy Siegal,29,37,78,1,2,1,0.75,1,Dropped by clients and socially ostracized after Epstein connections became public
Peter Attia,59,10,21,0,0,0,0.12,1,Resigned from CBS News contributor role after Epstein file revelations (2026)
Peter Mandelson,8,39,53,2,4,1,0.72,0,Named in documents; denied wrongdoing; no formal consequences
Prince Andrew,46,40,275,26,13,1,1.08,1,Stripped of military titles and royal patronages; settled civil lawsuit with Virginia Giuffre (2022)
Rupert Murdoch,1,8,9,0,0,1,0.54,0,No consequences related to Epstein
Sarah Ferguson,11,6,13,2,4,1,0.57,1,Publicly distanced from Prince Andrew; reputational damage from association
Steve Bannon,13,28,28,0,0,0,0.14,0,No Epstein-related consequences; separate legal issues unrelated to Epstein
