name,severity_score,profile_url
Donald Trump,10.0,https://epsteinoverview.com/topic/18
Jes Staley,10.0,https://epsteinoverview.com/topic/34
Karyna Shuliak,10.0,https://epsteinoverview.com/topic/38
"Oren, Alon, and Tal Alexander",10.0,https://epsteinoverview.com/topic/56
Ramsey Elkholy,10.0,https://epsteinoverview.com/topic/67
Sultan Bin Sulayem,10.0,https://epsteinoverview.com/topic/77
Ghislaine Maxwell,10.0,https://epsteinoverview.com/topic/26
Leon Black,9.9,https://epsteinoverview.com/topic/45
Prince Andrew,9.9,https://epsteinoverview.com/topic/65
Eva Andersson-Dubin,9.4,https://epsteinoverview.com/topic/24
Leslie Groff,9.4,https://epsteinoverview.com/topic/48
Peggy Siegal,9.1,https://epsteinoverview.com/topic/59
Bill Richardson,9.0,https://epsteinoverview.com/topic/8
William Riley,9.0,https://epsteinoverview.com/topic/82
Glenn Dubin,8.9,https://epsteinoverview.com/topic/27
Michael Wolff,8.9,https://epsteinoverview.com/topic/52
Bill Clinton,8.9,https://epsteinoverview.com/topic/4
Ehud Barak,8.8,https://epsteinoverview.com/topic/20
Peter Mandelson,8.8,https://epsteinoverview.com/topic/61
Steve Bannon,8.5,https://epsteinoverview.com/topic/76
Les Wexner,8.4,https://epsteinoverview.com/topic/47
Sarah Ferguson,8.1,https://epsteinoverview.com/topic/71
Ron Lauder,8.0,https://epsteinoverview.com/topic/69
Corina Tarnita,7.8,https://epsteinoverview.com/topic/14
Lana Zakocela,7.8,https://epsteinoverview.com/topic/42
Susan Hamblin,7.6,https://epsteinoverview.com/topic/78
Larry Summers,7.4,https://epsteinoverview.com/topic/44
Peter Theil,7.4,https://epsteinoverview.com/topic/62
Bill Gates,7.2,https://epsteinoverview.com/topic/5
Elon Musk,7.2,https://epsteinoverview.com/topic/22
Howard Lutnick,7.1,https://epsteinoverview.com/topic/30
Francis Derby,7.0,https://epsteinoverview.com/topic/25
Leon Botstein,6.9,https://epsteinoverview.com/topic/46
Casey Wasserman,6.9,https://epsteinoverview.com/topic/11
Kathryn Ruemmler,6.8,https://epsteinoverview.com/topic/40
Peter Attia,6.6,https://epsteinoverview.com/topic/60
Jess Ting,6.0,https://epsteinoverview.com/topic/35
Jeff Bezos,4.5,https://epsteinoverview.com/topic/32
Paolo Zampolli,4.5,https://epsteinoverview.com/topic/58
Chuck Schumer,4.2,https://epsteinoverview.com/topic/12
Rupert Murdoch,4.1,https://epsteinoverview.com/topic/70
Stefan Krause,4.0,https://epsteinoverview.com/topic/75
Sheikh Sultan Bin Jassim Al Thani,3.9,https://epsteinoverview.com/topic/73
Mark Zuckerberg,3.4,https://epsteinoverview.com/topic/51
Hillary Clinton,2.9,https://epsteinoverview.com/topic/29
Kevin O'Leary,2.2,https://epsteinoverview.com/topic/41
Pam Bondi,2.1,https://epsteinoverview.com/topic/57
Oprah,1.8,https://epsteinoverview.com/topic/55
George H.W. Bush and George W. Bush,1.6,https://epsteinoverview.com/topic/10
Stanislas Nordey,1.4,https://epsteinoverview.com/topic/74
Bill O'Reilly,1.1,https://epsteinoverview.com/topic/7
Kash Patel,0.6,https://epsteinoverview.com/topic/39
Betsy DeVos,0.0,https://epsteinoverview.com/topic/2
Benjamin Netanyahu,0.0,https://epsteinoverview.com/topic/3
Bill Maher,0.0,https://epsteinoverview.com/topic/6
Justice Clarence Thomas,0.0,https://epsteinoverview.com/topic/13
Ellen DeGeneres,0.0,https://epsteinoverview.com/topic/21
John and Tony Podesta,0.0,https://epsteinoverview.com/topic/36
Justin Trudeau,0.0,https://epsteinoverview.com/topic/37
Larry Silverstein,0.0,https://epsteinoverview.com/topic/43
Mark Landon,0.0,https://epsteinoverview.com/topic/50
Barack Obama,0.0,https://epsteinoverview.com/topic/54
RFK,0.0,https://epsteinoverview.com/topic/68
Savannah Guthrie,0.0,https://epsteinoverview.com/topic/72
Ted Leonsis,0.0,https://epsteinoverview.com/topic/79
Tom Hanks,0.0,https://epsteinoverview.com/topic/80
